"","DATA_OC","DT_HR_LOCAL","NAME_OBJETO","NAME_SETOR","CD_ID_FRAME"
"1","{""PRENSA"":{""ESTADO"":""OPERANDO"",""OPERADOR"":""TRABALHANDO""},""BOBINA"":{""ESTADO"":""OPERANDO"",""VOLUME"":""BAIXO""}}",2025-11-08 10:51:11,"SETREMA","CORTE-ESTAMPO","301393"
"2","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO,:""PARADO""}}",2025-11-08 10:51:13,"DOBRA","DOBRA","301409"
"3","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:51:16,"DOBRA","DOBRA","301472"
"4","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:51:47,"DOBRA","DOBRA","301940"
"5","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:51:55,"DOBRA","DOBRA","302045"
"6","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:52:09,"DOBRA","DOBRA","302267"
"7","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:52:13,"DOBRA","DOBRA","302321"
"8","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:52:27,"DOBRA","DOBRA","302546"
"9","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:52:31,"DOBRA","DOBRA","302591"
"10","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:52:51,"DOBRA","DOBRA","302888"
"11","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:53:08,"DOBRA","DOBRA","303146"
"12","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:53:11,"DOBRA","DOBRA","303197"
"13","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:53:38,"DOBRA","DOBRA","303608"
"14","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:53:42,"DOBRA","DOBRA","303656"
"15","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:53:45,"DOBRA","DOBRA","303704"
"16","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:53:59,"DOBRA","DOBRA","303905"
"17","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:54:06,"DOBRA","DOBRA","304010"
"18","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""PARADO""}}",2025-11-08 10:54:13,"DOBRA","DOBRA","304115"
"19","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:54:16,"DOBRA","DOBRA","304169"
"20","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 10:54:33,"DOBRA","DOBRA","304424"
